url;country;date;Fahrzeughalter;HU/AU neu;Garantie;Scheckheftgepflegt;Nichtraucherfahrzeug;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Getriebeart;Hubraum;Kraftstoff;Schadstoffklasse;Feinstaubplakette;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Ausstattung;haendler;ort;price;Winterreifen;Einparkhilfe selbstlenkendes System;TV;Navigationssystem;Sitzheizung;Einparkhilfe Sensoren hinten;Fahrerairbag;teilb. Rücksitzbank;Notrufsystem;Start/Stop-Automatik;Verkehrszeichenerkennung;Lichtsensor;Beheizbares Lenkrad;Dachreling;Getönte;Zentralverriegelung mit Funkfernbedienung;ESP;Head-up display;Wegfahrsperre;Totwinkel-Assistent;LED-Scheinwerfer;Schlüssellose Zentralverriegelung;Klimaanlage;Luftfederung;Sportsitze;Tagfahrlicht;Massagesitze;ABS;Skisack;Armlehne;Kurvenlicht;Alarmanlage;Einparkhilfe Kamera;Beifahrerairbag;Klimaautomatik;Behindertengerecht;Schaltwippen;Tempomat;Isofix;Nebelscheinwerfer;Traktionskontrolle;Tuning;Notbremsassistent;Rechtslenker;Windschott(für Cabrio);Beheizbare Frontscheibe;Regensensor;Radio;LED-Tagfahrlicht;MP3;Lordosenstütze;Standheizung;Schiebedach;Bordcomputer;Scheiben;Sprachsteuerung;Lederlenkrad;Schiebetür;Einparkhilfe Sensoren vorne;Sportfahrwerk;Reifendruckkontrollsystem;Berganfahrassistent;Elektrische Seitenspiegel;Seitenairbag;USB;Katalysator;Kopfairbag;Elektr. Fensterheber;Zentralverriegelung;Müdigkeitswarnsystem;Nachtsicht-Assistent;Xenonscheinwerfer;Servolenkung;Elektrische Sitze;Elektrische Heckklappe;Sportpaket;Multifunktionslenkrad;Bluetooth;DAB-Radio;Panoramadach;Anhängerkupplung;Freisprecheinrichtung;Abstandstempomat;Spurhalteassistent;Sitzbelüftung;Touchscreen;Alufelgen;Airbag hinten;CD;Soundsystem;HU Prüfung;Schlüsselnummer;Farbe laut Hersteller
/angebote/bmw-120-i-advantage-navi-led-hifi-keyless-1-hand-benzin-grau-a2b5b269-7918-4567-a1f7-cd6e7ff9df60;Deutschland;2020-04-04 21:10:13.507849;1;Ja;False;;;BMW;120;YH17640;2018;Grau;Metallic;Stoff, Schwarz;Limousine;4;5;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;7.430 km;Automatik;5.5 l/100 km (komb);49 Ausstattungsmerkmale;True;90441 Nürnberg;22990;False;False;False;True;True;True;True;False;True;True;False;True;False;False;False;False;True;False;True;False;True;True;True;False;False;True;False;True;False;True;False;False;True;True;True;False;False;True;True;True;True;False;False;False;False;False;True;True;True;False;True;False;False;True;False;True;True;False;True;False;True;True;True;True;True;False;False;True;True;False;False;False;True;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;True;True;;;
/angebote/bmw-120-120d-limited-edition-m-paket-steuerkette-neu-diesel-blau-3eb776a2-e7c5-1460-e053-e350040a68ad;Deutschland;2020-04-04 21:10:14.381273;;;False;;;BMW;120;;2007;Blau;Metallic;Teilleder, Schwarz;Limousine;3;4;Schaltgetriebe;1.995 cm³;Diesel (Rußpartikelfilter);Euro 5;4 (Grün);;;;;;False;48653 Coesfeld;8600;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;True;False;True;False;False;False;True;False;True;False;False;True;False;False;False;False;False;True;True;False;False;False;True;True;True;False;True;False;False;False;False;True;False;True;False;False;False;True;False;False;True;False;False;False;True;False;True;True;False;True;True;True;True;False;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;True;False;True;False;01/2020;0005/ARQ;
/angebote/bmw-120-i-edition-m-sport-shadow-aut-leder-navi-benzin-blau-d948d31e-ea3e-45ec-9669-aa17fe90316c;Deutschland;2020-04-04 21:10:15.281395;1;;False;;;BMW;120;ME75607;2019;Blau;Metallic;Vollleder, Schwarz;Limousine;4;5;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;11.741 km;Automatik;5.9 l/100 km (komb);56 Ausstattungsmerkmale;True;70499 Stuttgart;26000;False;False;False;True;True;True;True;False;True;True;False;True;False;False;False;False;True;False;True;False;True;True;True;False;True;True;False;True;False;True;True;True;False;True;True;False;True;False;True;True;True;False;False;False;False;False;True;True;True;False;True;False;True;True;False;True;True;False;True;True;True;True;True;True;True;False;False;True;True;False;False;False;True;False;False;True;True;True;True;True;False;True;True;False;False;False;True;False;True;True;;;
/angebote/bmw-120-i-aut-m-paket-navi-xenon-leder-alu-euro-6-benzin-grau-dcd21164-8372-4f8a-a1d8-553f7df381b2;Deutschland;2020-04-04 21:10:16.288495;;;False;;;BMW;120;048/20;2016;Grau;Metallic;Alcantara, Schwarz;Limousine;4;5;Automatik;1.598 cm³;Benzin;Euro 6;4 (Grün);130 kW / 177 PS;48.500 km;Automatik;5.7 l/100 km (komb);46 Ausstattungsmerkmale;True;50259 Pulheim;19990;False;False;False;True;False;True;True;False;False;True;True;False;False;False;False;False;True;False;True;False;False;False;True;False;True;True;False;True;False;True;True;False;False;True;True;False;False;True;True;True;True;False;False;False;False;False;True;True;True;False;True;False;False;True;False;True;True;False;True;True;True;False;True;True;True;False;False;True;True;False;False;True;True;False;False;True;True;True;False;False;False;False;False;False;False;False;True;False;True;True;10/2021;0005/BZV;
/angebote/bmw-120-i-advantage-xenon-schiebedach-komfort-paket-benzin-blau-7d1ce091-5197-48ac-9693-a8dc654b00fb;Deutschland;2020-04-04 21:10:17.276197;3;;False;;;BMW;120;PG70597;2009;Blau;Metallic;Stoff, Schwarz;Limousine;2;5;Schaltgetriebe;1.995 cm³;Benzin;Euro 5;4 (Grün);125 kW / 170 PS;85.250 km;Schaltgetriebe;8.0 l/100 km (komb);41 Ausstattungsmerkmale;True;70499 Stuttgart;8510;False;False;False;False;True;True;True;False;False;True;False;True;False;False;False;False;True;False;True;False;False;True;True;False;False;False;False;True;False;True;False;False;False;True;True;False;False;True;True;True;True;False;False;False;False;False;True;True;False;False;False;False;True;True;False;False;True;False;True;False;True;False;True;True;False;False;False;True;True;False;False;True;True;False;False;False;True;True;False;True;False;True;False;False;False;False;True;False;True;True;;;
/angebote/bmw-120-i-edition-m-sport-shadow-aut-leder-navi-benzin-blau-1b6855f9-15bc-44a7-ba96-dfed9304f48d;Deutschland;2020-04-04 21:10:18.197892;1;;False;;;BMW;120;ME75607;2019;Blau;Metallic;Vollleder, Schwarz;Limousine;4;5;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;11.741 km;Automatik;5.9 l/100 km (komb);56 Ausstattungsmerkmale;True;90441 Nürnberg;26000;False;False;False;True;True;True;True;False;True;True;False;True;False;False;False;False;True;False;True;False;True;True;True;False;True;True;False;True;False;True;True;True;False;True;True;False;True;False;True;True;True;False;False;False;False;False;True;True;True;False;True;False;True;True;False;True;True;False;True;True;True;True;True;True;True;False;False;True;True;False;False;False;True;False;False;True;True;True;True;True;False;True;True;False;False;False;True;False;True;True;;;
/angebote/bmw-120-d-xenon-pdc-navi-sitzheizung-glasdach-diesel-schwarz-f1bc552b-6a0d-46e7-bd40-b938389b260f;Deutschland;2020-04-04 21:10:19.220113;2;Ja;False;;;BMW;120;0005AHY;2009;Schwarz;Metallic;Stoff, Schwarz;Limousine;4;5;Schaltgetriebe;1.995 cm³;Diesel;Euro 4;4 (Grün);130 kW / 177 PS;229.000 km;Schaltgetriebe;5.5 l/100 km (komb);34 Ausstattungsmerkmale;True;86529 Schrobenhausen;4777;False;False;False;True;True;True;True;False;False;True;False;True;False;False;False;False;True;False;True;False;False;False;True;False;False;False;False;True;False;True;False;False;False;True;True;False;False;True;True;True;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False;True;True;False;False;False;True;True;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;;;BLACK SAPPHIRE METALLIC
/angebote/bmw-120-1er-xdrive-sport-aut-m-sport-diesel-weiss-e3f77d39-3887-440e-a58d-44a3e40167df;Deutschland;2020-04-04 21:10:20.119929;1;;False;;;BMW;120;;2017;Weiß;;;Limousine;3;4;Automatik;1.995 cm³;Diesel;Euro 6;;;;;;;True;07806 Neustadt;9600;False;False;False;False;False;True;True;False;True;True;False;True;False;False;False;False;True;False;True;False;False;False;True;False;True;False;False;True;False;True;False;False;False;True;True;False;False;True;True;True;True;False;False;False;False;False;True;True;False;True;False;False;False;True;False;False;True;False;False;True;True;True;True;True;True;False;True;True;True;False;False;False;True;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;True;False;;0005/CAX;
/angebote/bmw-120-d-advantage-glasdach-navi-alu-pdc-shz-diesel-braun-47faaf2c-c56f-409a-851c-4f2a3b5f7f7b;Deutschland;2020-04-04 21:10:21.034064;2;;False;;;BMW;120;RM92810;2016;Braun;Metallic;Stoff, Schwarz;Limousine;4;5;Schaltgetriebe;1.995 cm³;Diesel;Euro 6;4 (Grün);140 kW / 190 PS;44.468 km;Schaltgetriebe;4.1 l/100 km (komb);47 Ausstattungsmerkmale;True;70499 Stuttgart;15000;False;False;False;True;True;True;True;False;True;True;False;True;True;False;False;False;True;False;True;False;False;True;True;False;False;True;False;True;False;True;False;False;False;True;True;False;False;True;True;True;True;False;False;False;False;False;True;True;False;False;True;False;True;True;False;False;True;False;True;False;True;False;True;True;True;False;False;True;True;False;False;False;True;False;False;False;True;True;False;True;False;True;False;False;False;False;True;False;True;True;;;
/angebote/bmw-120-ia-m-sport-navi-pdc-shz-alarm-benzin-schwarz-bcb2a43e-86ab-42b9-b505-092980e1544b;Deutschland;2020-04-04 21:10:21.892905;2;;False;;;BMW;120;WV00675;2017;Schwarz;Metallic;Vollleder, Schwarz;Limousine;4;5;Automatik;1.998 cm³;Benzin;Euro 6;4 (Grün);135 kW / 184 PS;30.482 km;Automatik;5.5 l/100 km (komb);48 Ausstattungsmerkmale;True;70499 Stuttgart;21050;False;False;False;True;True;True;True;False;True;True;True;True;False;False;False;False;True;False;True;False;True;True;True;False;True;False;False;True;False;True;False;True;False;True;True;False;False;True;True;True;True;False;False;False;False;False;True;True;False;False;True;False;False;True;False;False;True;False;True;True;True;True;True;True;True;False;False;True;True;False;False;False;True;False;False;True;True;True;False;False;False;True;False;False;False;False;True;False;True;False;;;
